ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0007264,small GTPase mediated signal transduction,88/1791,444/18112,1.3650002405571075e-10,8.303296463308885e-7,6.757469611936923e-7,192248/317580/361503/315530/81754/315992/171337/306380/79121/83841/680419/306934/317219/685244/361987/362111/308509/307500/499672/24167/78965/679934/365216/25751/299799/54260/50866/116692/689883/287633/25496/84009/83709/81757/363235/29636/298298/289229/246249/24335/360606/303653/83722/313845/312915/307016/689710/302373/304883/24596/313210/24592/295378/306141/690538/24525/310533/116546/24482/100361238/316258/498282/295588/29492/114523/311193/24718/60336/362842/309722/24917/24326/302495/299909/25597/303351/309922/297383/314903/81511/687346/691418/83527/25676/114633/305156/307098/367085,88
BP,GO:0007265,Ras protein signal transduction,73/1791,349/18112,4.347199357922944e-10,1.3222006847122634e-6,1.076046241069032e-6,192248/317580/361503/81754/171337/306380/79121/83841/680419/306934/317219/685244/361987/308509/307500/499672/78965/679934/365216/25751/299799/54260/50866/116692/689883/287633/25496/84009/83709/81757/363235/29636/298298/289229/246249/24335/360606/303653/83722/313845/312915/689710/302373/304883/24596/313210/24592/306141/690538/24525/310533/116546/24482/100361238/29492/114523/60336/362842/24917/24326/302495/25597/297383/314903/81511/687346/691418/83527/25676/114633/305156/307098/367085,73
BP,GO:0014033,neural crest cell differentiation,29/1791,98/18112,4.057323078349417e-8,7.011102894298086e-5,5.705844054073718e-5,297900/29751/85489/296201/361764/29560/64637/64444/311384/311071/361324/24716/84402/500262/301346/363142/353252/114502/79558/499497/114634/81507/24326/295691/116590/114490/364706/366270/25509,29
BP,GO:0007416,synapse assembly,45/1791,196/18112,5.584031907685182e-8,7.011102894298086e-5,5.705844054073718e-5,29456/25513/56768/54239/309349/79121/83841/353230/83502/306439/363058/306147/29423/688721/317407/59312/171093/64622/685472/65096/287986/25012/299236/24397/312652/113970/114523/25592/366205/60391/24922/499497/114634/171447/25398/303181/116508/29477/29138/83527/291388/290467/500219/499947/64845,45
BP,GO:0007409,axonogenesis,87/1791,493/18112,5.7628660975654176e-8,7.011102894298086e-5,5.705844054073718e-5,29456/307833/29751/307940/54239/362750/309349/25473/60328/360546/361764/29227/306147/60589/29423/156726/25751/299799/64444/25496/501099/84009/64622/360635/89828/307251/303823/192362/363235/289229/246249/84394/25012/311384/315615/311071/361324/680427/306534/24716/24596/84407/299236/65172/366889/360921/312652/301346/81735/288289/363142/114523/25592/366205/307403/24324/317268/499073/116671/316539/24718/499497/361833/25398/24205/24660/24326/303181/307350/116690/29477/299331/300231/81822/83527/310192/25367/25546/84005/312647/25416/290467/366270/54278/25022/25509/308690,87
BP,GO:0048762,mesenchymal cell differentiation,51/1791,239/18112,9.375162116627218e-8,8.64961206589736e-5,7.039311549169001e-5,297900/679869/83837/29751/498576/685611/83841/85489/296201/79128/361764/29560/64637/64444/25496/24494/81517/311384/311071/361324/24716/170909/84402/303946/306141/500262/301346/313575/29748/363142/353252/114502/79558/316539/499497/114634/81507/24326/679819/296072/64031/311661/679921/295691/116590/114490/364706/361726/366270/25022/25509,51
BP,GO:0007611,learning or memory,66/1791,345/18112,1.1309040163428585e-7,8.64961206589736e-5,7.039311549169001e-5,116638/54239/24654/314322/29560/294318/54276/317407/59312/171093/315606/79212/85268/501099/84009/64622/114705/24494/81517/83709/29619/291084/360606/83722/310392/25012/60445/680427/170899/304883/24592/289820/83840/81648/24525/24418/288475/315346/24329/24482/25248/25553/307206/60391/499073/24922/25675/296078/24718/499497/361309/301164/291130/83532/116508/29477/685474/311450/360616/364674/29716/29424/54278/24267/84550/25509,66
BP,GO:0001764,neuron migration,44/1791,194/18112,1.1375455618474252e-7,8.64961206589736e-5,7.039311549169001e-5,29751/307940/85489/366951/83502/306439/60328/685707/360663/117536/171054/501099/89828/497881/81517/304900/25400/360606/84394/361324/306534/25159/299236/306417/310533/363412/501145/81735/302396/113984/114523/317268/116671/24718/499497/116554/291130/29477/299331/310062/54278/83465/25509/308690,44
BP,GO:0050890,cognition,71/1791,385/18112,1.6939347244318088e-7,1.0927331856443038e-4,8.892987656861072e-5,116638/54239/24654/314322/29560/294318/54276/317407/59312/171093/315606/79212/85268/501099/84009/64622/89828/114705/24494/81517/83709/29619/291084/360606/83722/310392/25012/60445/298504/680427/170899/304883/24592/289820/83840/81648/24525/24418/288475/315346/24329/24482/499529/25248/25553/307206/60391/499073/24922/25675/296078/24718/499497/25229/361309/301164/291130/83532/116508/29477/685474/311450/360616/364674/29716/29424/29582/54278/24267/84550/25509,71
BP,GO:0031346,positive regulation of cell projection organization,80/1791,453/18112,1.9042057927206036e-7,1.0927331856443038e-4,8.892987656861072e-5,29456/361503/25513/192247/307833/307940/266802/306934/310812/306439/60328/84006/679934/306147/25751/317407/261738/299799/192352/85420/501099/84009/64622/293546/266688/81517/303823/81757/170673/24335/360606/303653/360632/84394/679566/84510/311071/499022/24716/304883/24596/306873/100910984/24592/289820/310533/29152/65172/360921/312652/288289/25248/113970/171116/114523/25592/316539/24718/24205/301164/64558/317235/303181/29477/299331/305386/314260/306941/293056/691418/83527/303811/25546/84005/114633/29424/24166/83422/362173/84583,80
BP,GO:0030111,regulation of Wnt signaling pathway,61/1791,315/18112,2.179934138075896e-7,1.0927331856443038e-4,8.892987656861072e-5,29657/679869/83837/310352/307940/312937/316412/79128/83502/307449/302424/497936/309060/64444/25496/293546/683206/81517/361230/306811/501097/171548/289229/360606/313228/100360552/192270/311071/24667/304883/84402/497961/292907/295445/81649/24329/361261/499745/308896/64462/116477/24205/63879/64558/291130/362316/303181/302526/362325/295691/498416/140589/316101/503000/311163/24666/363122/361726/311622/304054/25022,61
BP,GO:0014031,mesenchymal cell development,27/1791,94/18112,2.3166384157146616e-7,1.0927331856443038e-4,8.892987656861072e-5,297900/29751/85489/296201/361764/29560/64637/64444/25496/311384/311071/361324/24716/500262/301346/313575/363142/353252/114502/79558/81507/24326/116590/114490/364706/366270/25509,27
BP,GO:0045598,regulation of fat cell differentiation,37/1791,154/18112,2.4758481087478643e-7,1.0927331856443038e-4,8.892987656861072e-5,307271/29657/679869/498795/317376/362489/294075/246273/360757/291403/81925/25664/29344/306873/84402/25159/81649/24482/316216/300807/298765/498678/313977/100366024/25187/114634/303181/25587/685474/291023/295691/310192/64194/363026/294925/311622/24539,37
BP,GO:0006836,neurotransmitter transport,53/1791,260/18112,2.5149210256485704e-7,1.0927331856443038e-4,8.892987656861072e-5,116638/56768/81531/171337/54239/298771/613226/499903/29693/65153/81717/305309/79212/24803/81755/25101/83709/84573/25400/117556/24805/64832/29316/25012/362876/100188944/25716/24592/29464/25248/84023/117559/81802/25553/60391/25187/499073/499497/25398/362842/24242/24244/50663/116600/289727/303351/116508/63840/25505/307309/29716/366270/24311,53
BP,GO:0032409,regulation of transporter activity,59/1791,305/18112,3.5616044059780646e-7,1.3990545490922437e-4,1.138592201628494e-4,681024/63847/317420/85489/25639/79246/25327/25576/84020/25751/59312/315606/498226/24803/306811/59299/24335/114507/54348/362524/499561/282819/81648/65144/24418/192249/117087/307206/25592/116477/60391/24718/499497/361833/25398/24954/24242/24244/50663/116600/312981/361110/24326/316395/170538/59076/691246/307757/114766/260323/81822/58971/192129/29716/291553/29424/25017/361089/303259,59
